dataset,subject,condition,subject_race,subject_age,subject_gender,chosen_race,chosen_age,chosen_gender,rejected_race,rejected_age,rejected_gender,shared_features_chosen,shared_features_rejected
first_pass,first_pass_first_pass_first_pass_first_pass_6,Casual,Black,25-31,Man,white,25-31,Man,east-asian,39-45,Man,2,1
first_pass,first_pass_first_pass_first_pass_first_pass_6,Casual,Black,25-31,Man,south-asian,25-31,Woman,white,32-38,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_6,Casual,Black,25-31,Man,south-asian,18-24,Woman,south-asian,32-38,Woman,0,0
first_pass,first_pass_first_pass_first_pass_first_pass_6,Casual,Black,25-31,Man,white,18-24,Woman,white,25-31,Man,0,2
first_pass,first_pass_first_pass_first_pass_first_pass_6,Casual,Black,25-31,Man,white,32-38,Woman,south-asian,25-31,Man,0,2
first_pass,first_pass_first_pass_first_pass_first_pass_6,Casual,Black,25-31,Man,white,18-24,Woman,south-asian,18-24,Woman,0,0
first_pass,first_pass_first_pass_first_pass_first_pass_6,Casual,Black,25-31,Man,south-asian,32-38,Woman,white,25-31,Man,0,2
first_pass,first_pass_first_pass_first_pass_first_pass_6,Casual,Black,25-31,Man,south-asian,18-24,Woman,south-asian,25-31,Woman,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_6,Casual,Black,25-31,Man,white,32-38,Man,south-asian,25-31,Man,1,2
first_pass,first_pass_first_pass_first_pass_first_pass_6,Casual,Black,25-31,Man,white,32-38,Woman,south-asian,18-24,Woman,0,0
first_pass,first_pass_first_pass_first_pass_first_pass_6,Casual,Black,25-31,Man,south-asian,25-31,Man,south-asian,32-38,Woman,2,0
first_pass,first_pass_first_pass_first_pass_first_pass_6,Casual,Black,25-31,Man,east-asian,39-45,Man,south-asian,18-24,Woman,1,0
first_pass,first_pass_first_pass_first_pass_first_pass_6,Casual,Black,25-31,Man,white,32-38,Woman,south-asian,25-31,Woman,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_6,Casual,Black,25-31,Man,south-asian,18-24,Woman,white,25-31,Man,0,2
first_pass,first_pass_first_pass_first_pass_first_pass_6,Casual,Black,25-31,Man,south-asian,32-38,Woman,east-asian,39-45,Man,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_6,Casual,Black,25-31,Man,south-asian,18-24,Woman,south-asian,25-31,Man,0,2
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,white,18-24,Man,latino,25-31,Woman,2,0
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,white,32-38,Woman,black,39-45,Woman,0,0
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,east-asian,18-24,Man,black,32-38,Man,3,1
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,white,32-38,Woman,latino,18-24,Man,0,2
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,east-asian,18-24,Man,black,25-31,Man,3,1
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,black,32-38,Man,white,18-24,Man,1,2
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,latino,25-31,Woman,latino,18-24,Man,0,2
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,south-asian,25-31,Man,white,32-38,Woman,1,0
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,black,39-45,Woman,white,18-24,Man,0,2
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,east-asian,18-24,Man,latino,18-24,Man,3,2
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,white,32-38,Woman,white,18-24,Man,0,2
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,black,39-45,Woman,black,32-38,Man,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,white,18-24,Man,black,25-31,Man,2,1
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,east-asian,18-24,Man,latino,25-31,Woman,3,0
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,black,39-45,Woman,black,25-31,Man,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,east-asian,18-24,Man,white,18-24,Man,3,2
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,black,32-38,Man,black,25-31,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,white,32-38,Woman,east-asian,18-24,Man,0,3
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,black,39-45,Woman,latino,25-31,Woman,0,0
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,black,32-38,Man,latino,18-24,Man,1,2
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,white,32-38,Woman,latino,25-31,Woman,0,0
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,south-asian,25-31,Man,black,39-45,Woman,1,0
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,black,32-38,Man,latino,25-31,Woman,1,0
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,south-asian,25-31,Man,black,25-31,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,white,32-38,Woman,black,32-38,Man,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,south-asian,25-31,Man,white,18-24,Man,1,2
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,black,25-31,Man,latino,18-24,Man,1,2
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,south-asian,25-31,Man,east-asian,18-24,Man,1,3
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,white,18-24,Man,latino,18-24,Man,2,2
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,south-asian,25-31,Man,black,32-38,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,east-asian,18-24,Man,black,39-45,Woman,3,0
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,white,32-38,Woman,black,25-31,Man,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,south-asian,25-31,Man,latino,25-31,Woman,1,0
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,black,39-45,Woman,latino,18-24,Man,0,2
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,latino,25-31,Woman,black,25-31,Man,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_7,Competitive,East/Southeast Asian,18-24,Man,south-asian,25-31,Man,latino,18-24,Man,1,2
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,south-asian,25-31,Woman,latino,18-24,Woman,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,east-asian,45+,Woman,black,25-31,Woman,1,0
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,latino,25-31,Man,south-asian,39-45,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,black,25-31,Woman,latino,18-24,Woman,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,black,45+,Man,latino,25-31,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,black,25-31,Woman,south-asian,39-45,Man,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,south-asian,18-24,Man,black,45+,Man,2,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,black,25-31,Woman,latino,25-31,Man,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,black,45+,Man,black,45+,Woman,1,0
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,south-asian,18-24,Man,latino,25-31,Man,2,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,black,25-31,Woman,black,45+,Man,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,latino,25-31,Man,black,45+,Woman,1,0
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,south-asian,25-31,Woman,black,45+,Man,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,latino,18-24,Woman,south-asian,39-45,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,black,25-31,Woman,black,45+,Woman,0,0
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,black,45+,Man,latino,18-24,Woman,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,south-asian,25-31,Woman,south-asian,39-45,Man,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,east-asian,45+,Woman,latino,25-31,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,south-asian,18-24,Man,south-asian,25-31,Woman,2,0
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,east-asian,45+,Woman,black,45+,Woman,1,0
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,latino,25-31,Man,latino,18-24,Woman,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,east-asian,45+,Woman,south-asian,25-31,Woman,1,0
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,south-asian,39-45,Man,black,45+,Woman,1,0
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,south-asian,18-24,Man,latino,18-24,Woman,2,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,east-asian,45+,Woman,south-asian,39-45,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,south-asian,25-31,Woman,black,45+,Woman,0,0
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,south-asian,18-24,Man,south-asian,39-45,Man,2,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,east-asian,45+,Woman,black,45+,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,south-asian,18-24,Man,black,25-31,Woman,2,0
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,south-asian,25-31,Woman,latino,25-31,Man,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,east-asian,45+,Woman,south-asian,18-24,Man,1,2
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,south-asian,39-45,Man,black,45+,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,black,45+,Woman,latino,18-24,Woman,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,black,25-31,Woman,south-asian,25-31,Woman,0,0
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,south-asian,18-24,Man,black,45+,Woman,2,0
first_pass,first_pass_first_pass_first_pass_first_pass_8,Competitive,East/Southeast Asian,18-24,Man,east-asian,45+,Woman,latino,18-24,Woman,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,latino,32-38,Man,east-asian,18-24,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,south-asian,18-24,Woman,black,18-24,Man,2,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,east-asian,18-24,Man,east-asian,39-45,Man,1,0
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,black,18-24,Man,latino,32-38,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,east-asian,18-24,Man,white,25-31,Woman,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,south-asian,25-31,Woman,white,32-38,Woman,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,black,18-24,Man,east-asian,39-45,Man,1,0
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,south-asian,18-24,Woman,south-asian,25-31,Woman,2,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,white,32-38,Woman,east-asian,39-45,Man,1,0
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,black,18-24,Man,white,25-31,Woman,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,south-asian,25-31,Woman,east-asian,39-45,Man,1,0
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,black,18-24,Man,latino,39-45,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,latino,32-38,Man,white,32-38,Woman,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,east-asian,18-24,Man,latino,39-45,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,south-asian,25-31,Woman,latino,32-38,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,south-asian,18-24,Woman,latino,39-45,Man,2,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,white,32-38,Woman,east-asian,18-24,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,east-asian,39-45,Man,white,25-31,Woman,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,white,32-38,Woman,latino,39-45,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,black,18-24,Man,east-asian,18-24,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,south-asian,18-24,Woman,white,25-31,Woman,2,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,black,18-24,Man,white,32-38,Woman,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,south-asian,18-24,Woman,east-asian,18-24,Man,2,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,east-asian,39-45,Man,latino,39-45,Man,0,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,south-asian,25-31,Woman,east-asian,18-24,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,latino,32-38,Man,east-asian,39-45,Man,1,0
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,south-asian,25-31,Woman,latino,39-45,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,south-asian,18-24,Woman,white,32-38,Woman,2,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,south-asian,25-31,Woman,white,25-31,Woman,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,south-asian,18-24,Woman,latino,32-38,Man,2,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,latino,39-45,Man,white,25-31,Woman,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,south-asian,25-31,Woman,black,18-24,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,latino,32-38,Man,white,25-31,Woman,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,south-asian,18-24,Woman,east-asian,39-45,Man,2,0
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,white,32-38,Woman,white,25-31,Woman,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_9,Casual,Hispanic/Latine/Latinx,18-24,Woman,latino,32-38,Man,latino,39-45,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_10,Casual,White,25-31,Man,black,18-24,Man,east-asian,39-45,Woman,1,0
first_pass,first_pass_first_pass_first_pass_first_pass_10,Casual,White,25-31,Man,south-asian,32-38,Man,white,39-45,Man,1,2
first_pass,first_pass_first_pass_first_pass_first_pass_10,Casual,White,25-31,Man,black,18-24,Man,latino,25-31,Man,1,2
first_pass,first_pass_first_pass_first_pass_first_pass_10,Casual,White,25-31,Man,south-asian,32-38,Man,black,32-38,Man,1,1
first_pass,first_pass_first_pass_first_pass_first_pass_10,Casual,White,25-31,Man,east-asian,39-45,Woman,white,39-45,Man,0,2
first_pass,first_pass_first_pass_first_pass_first_pass_10,Casual,White,25-31,Man,latino,25-31,Man,south-asian,39-45,Man,2,1
first_pass,first_pass_first_pass_first_pass_first_pass_10,Casual,White,25-31,Man,east-asian,39-45,Woman,south-asian,32-38,Woman,0,0
first_pass,first_pass_first_pass_first_pass_first_pass_10,Casual,White,25-31,Man,latino,25-31,Man,black,32-38,Man,2,1
first_pass,first_pass_first_pass_first_pass_first_pass_10,Casual,White,25-31,Man,south-asian,32-38,Woman,white,39-45,Man,0,2
first_pass,first_pass_first_pass_first_pass_first_pass_10,Casual,White,25-31,Man,south-asian,39-45,Man,black,32-38,Man,1,1
